"# created_at",speaker_type,text
2021-07-16T17:05:38.397Z,visitor,"👋 Hello, we’ve noticed you’re here for the first time. If you have any questions, don’t hesitate to get in touch."
2021-07-16T17:05:38.436Z,visitor,Hello.  How does this work?
2021-07-16T17:05:45.473Z,visitor,
2021-07-16T17:05:53.064Z,agent,Hello! Welcome to Good-Loop
2021-07-16T17:06:31.449Z,visitor,I want to know more about ethical advertising.
2021-07-16T17:06:47.671Z,agent,Great :)
2021-07-16T17:07:09.764Z,agent,Do you represent a business that wants to advertise?
2021-07-16T17:07:34.858Z,visitor,"Yes, i represent a greaat local greengrocer - tattie shaws"
2021-07-16T17:08:20.890Z,agent,"Lovely. OK - Let's get you setup with a free account, and you can explore Good-Loop's ethical advertising for local businesses."
2021-07-16T17:08:37.261Z,agent,"Click on the ""Small Business"" button"
2021-07-16T17:08:56.938Z,visitor,"Thank you, will do"
2021-07-16T17:11:42.325Z,visitor,Can I choose more than one format?
2021-07-16T17:12:11.257Z,agent,Pick one for now. You can always make _more_ adverts later.
2021-07-16T17:16:03.172Z,visitor,I can't see anything in my preview.  Should i have loaded more content?
2021-07-16T17:17:11.952Z,agent,Scroll down below the preview - you can enter your logo below.
2021-07-16T17:25:29.955Z,visitor,What is cta text?
2021-07-16T17:26:11.673Z,agent,CTA = Call to Action -- It's the text on the main button
2021-07-16T17:27:12.619Z,agent,"Pick something encouraging, such as ""Let's go!"" or ""Get a 20% discount!"" (if you offer one)."
2021-07-16T17:28:49.749Z,visitor,Done that.  What next?  is that it?
2021-07-16T17:29:08.321Z,agent,Great. Now hit the (Record) button to make a video.
2021-07-16T17:29:50.668Z,visitor,It says re-record - is that the one?
